state,county,fips,abbreviation
Alabama,Autauga,01001,AL
Alabama,Baldwin,01003,AL
Alabama,Barbour,01005,AL
Alabama,Bibb,01007,AL
Alabama,Blount,01009,AL
Alabama,Bullock,01011,AL
Alabama,Butler,01013,AL
Alabama,Calhoun,01015,AL
Alabama,Chambers,01017,AL
Alabama,Cherokee,01019,AL
Alabama,Chilton,01021,AL
Alabama,Choctaw,01023,AL
Alabama,Clarke,01025,AL
Alabama,Clay,01027,AL
Alabama,Cleburne,01029,AL
Alabama,Coffee,01031,AL
Alabama,Colbert,01033,AL
Alabama,Conecuh,01035,AL
Alabama,Coosa,01037,AL
Alabama,Covington,01039,AL
Alabama,Crenshaw,01041,AL
Alabama,Cullman,01043,AL
Alabama,Dale,01045,AL
Alabama,Dallas,01047,AL
Alabama,DeKalb,01049,AL
Alabama,Elmore,01051,AL
Alabama,Escambia,01053,AL
Alabama,Etowah,01055,AL
Alabama,Fayette,01057,AL
Alabama,Franklin,01059,AL
Alabama,Geneva,01061,AL
Alabama,Greene,01063,AL
Alabama,Hale,01065,AL
Alabama,Henry,01067,AL
Alabama,Houston,01069,AL
Alabama,Jackson,01071,AL
Alabama,Jefferson,01073,AL
Alabama,Lamar,01075,AL
Alabama,Lauderdale,01077,AL
Alabama,Lawrence,01079,AL
Alabama,Lee,01081,AL
Alabama,Limestone,01083,AL
Alabama,Lowndes,01085,AL
Alabama,Macon,01087,AL
Alabama,Madison,01089,AL
Alabama,Marengo,01091,AL
Alabama,Marion,01093,AL
Alabama,Marshall,01095,AL
Alabama,Mobile,01097,AL
Alabama,Monroe,01099,AL
Alabama,Montgomery,01101,AL
Alabama,Morgan,01103,AL
Alabama,Perry,01105,AL
Alabama,Pickens,01107,AL
Alabama,Pike,01109,AL
Alabama,Randolph,01111,AL
Alabama,Russell,01113,AL
Alabama,Shelby,01117,AL
Alabama,St. Clair,01115,AL
Alabama,Sumter,01119,AL
Alabama,Talladega,01121,AL
Alabama,Tallapoosa,01123,AL
Alabama,Tuscaloosa,01125,AL
Alabama,Walker,01127,AL
Alabama,Washington,01129,AL
Alabama,Wilcox,01131,AL
Alabama,Winston,01133,AL
Alaska,Aleutians East Borough,02013,AK
Alaska,Aleutians West Census Area,02016,AK
Alaska,Anchorage,02020,AK
Alaska,Bethel Census Area,02050,AK
Alaska,Bristol Bay Borough,02060,AK
Alaska,Denali Borough,02068,AK
Alaska,Dillingham Census Area,02070,AK
Alaska,Fairbanks North Star Borough,02090,AK
Alaska,Haines Borough,02100,AK
Alaska,Juneau City and Borough,02110,AK
Alaska,Kenai Peninsula Borough,02122,AK
Alaska,Ketchikan Gateway Borough,02130,AK
Alaska,Kodiak Island Borough,02150,AK
Alaska,Kusilvak Census Area,02158,AK
Alaska,Lake and Peninsula Borough,02164,AK
Alaska,Matanuska-Susitna Borough,02170,AK
Alaska,Nome Census Area,02180,AK
Alaska,North Slope Borough,02185,AK
Alaska,Northwest Arctic Borough,02188,AK
Alaska,Petersburg Borough,02195,AK
Alaska,Prince of Wales-Hyder Census Area,02198,AK
Alaska,Sitka City and Borough,02220,AK
Alaska,Southeast Fairbanks Census Area,02240,AK
Alaska,Unknown,NA,AK
Alaska,Valdez-Cordova Census Area,02261,AK
Alaska,Wrangell City and Borough,02275,AK
Alaska,Yukon-Koyukuk Census Area,02290,AK
Arizona,Apache,04001,AZ
Arizona,Cochise,04003,AZ
Arizona,Coconino,04005,AZ
Arizona,Gila,04007,AZ
Arizona,Graham,04009,AZ
Arizona,Greenlee,04011,AZ
