fips,pop2019,state,county,abbreviation
01001,55869,Alabama,Autauga,AL
01003,223234,Alabama,Baldwin,AL
01005,24686,Alabama,Barbour,AL
01007,22394,Alabama,Bibb,AL
01009,57826,Alabama,Blount,AL
01011,10101,Alabama,Bullock,AL
01013,19448,Alabama,Butler,AL
01015,113605,Alabama,Calhoun,AL
01017,33254,Alabama,Chambers,AL
01019,26196,Alabama,Cherokee,AL
01021,44428,Alabama,Chilton,AL
01023,12589,Alabama,Choctaw,AL
01025,23622,Alabama,Clarke,AL
01027,13235,Alabama,Clay,AL
01029,14910,Alabama,Cleburne,AL
01031,52342,Alabama,Coffee,AL
01033,55241,Alabama,Colbert,AL
01035,12067,Alabama,Conecuh,AL
01037,10663,Alabama,Coosa,AL
01039,37049,Alabama,Covington,AL
01041,13772,Alabama,Crenshaw,AL
01043,83768,Alabama,Cullman,AL
01045,49172,Alabama,Dale,AL
01047,37196,Alabama,Dallas,AL
01049,71513,Alabama,DeKalb,AL
01051,81209,Alabama,Elmore,AL
01053,36633,Alabama,Escambia,AL
01055,102268,Alabama,Etowah,AL
01057,16302,Alabama,Fayette,AL
01059,31362,Alabama,Franklin,AL
01061,26271,Alabama,Geneva,AL
01063,8111,Alabama,Greene,AL
01065,14651,Alabama,Hale,AL
01067,17205,Alabama,Henry,AL
01069,105882,Alabama,Houston,AL
01071,51626,Alabama,Jackson,AL
01073,658573,Alabama,Jefferson,AL
01075,13805,Alabama,Lamar,AL
01077,92729,Alabama,Lauderdale,AL
01079,32924,Alabama,Lawrence,AL
01081,164542,Alabama,Lee,AL
01083,98915,Alabama,Limestone,AL
01085,9726,Alabama,Lowndes,AL
01087,18068,Alabama,Macon,AL
01089,372909,Alabama,Madison,AL
01091,18863,Alabama,Marengo,AL
01093,29709,Alabama,Marion,AL
01095,96774,Alabama,Marshall,AL
01097,413210,Alabama,Mobile,AL
01099,20733,Alabama,Monroe,AL
01101,226486,Alabama,Montgomery,AL
01103,119679,Alabama,Morgan,AL
01105,8923,Alabama,Perry,AL
01107,19930,Alabama,Pickens,AL
01109,33114,Alabama,Pike,AL
01111,22722,Alabama,Randolph,AL
01113,57961,Alabama,Russell,AL
01115,89512,Alabama,St. Clair,AL
01117,217702,Alabama,Shelby,AL
01119,12427,Alabama,Sumter,AL
01121,79978,Alabama,Talladega,AL
01123,40367,Alabama,Tallapoosa,AL
01125,209355,Alabama,Tuscaloosa,AL
01127,63521,Alabama,Walker,AL
01129,16326,Alabama,Washington,AL
01131,10373,Alabama,Wilcox,AL
01133,23629,Alabama,Winston,AL
02013,3337,Alaska,Aleutians East Borough,AK
02016,5634,Alaska,Aleutians West Census Area,AK
02020,288000,Alaska,Anchorage,AK
02050,18386,Alaska,Bethel Census Area,AK
02060,836,Alaska,Bristol Bay Borough,AK
02068,2097,Alaska,Denali Borough,AK
02070,4916,Alaska,Dillingham Census Area,AK
02090,96849,Alaska,Fairbanks North Star Borough,AK
02100,2530,Alaska,Haines Borough,AK
02105,2148,NA,NA,NA
02110,31974,Alaska,Juneau City and Borough,AK
02122,58708,Alaska,Kenai Peninsula Borough,AK
02130,13901,Alaska,Ketchikan Gateway Borough,AK
02150,12998,Alaska,Kodiak Island Borough,AK
02158,8314,Alaska,Kusilvak Census Area,AK
02164,1592,Alaska,Lake and Peninsula Borough,AK
02170,108317,Alaska,Matanuska-Susitna Borough,AK
02180,10004,Alaska,Nome Census Area,AK
02185,9832,Alaska,North Slope Borough,AK
02188,7621,Alaska,Northwest Arctic Borough,AK
02195,3266,Alaska,Petersburg Borough,AK
02198,6203,Alaska,Prince of Wales-Hyder Census Area,AK
02220,8493,Alaska,Sitka City and Borough,AK
02230,1183,NA,NA,NA
02240,6893,Alaska,Southeast Fairbanks Census Area,AK
02261,9202,Alaska,Valdez-Cordova Census Area,AK
02275,2502,Alaska,Wrangell City and Borough,AK
02282,579,NA,NA,NA
02290,5230,Alaska,Yukon-Koyukuk Census Area,AK
04001,71887,Arizona,Apache,AZ
04003,125922,Arizona,Cochise,AZ
